Compound ID,SMILES,mutagenicity
2997,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,0
3721,NC(CSCc1ccccc1)C(=O)O,0
3431,CCNCC#CC(C)(C)OC(=O)C(O)(c1ccccc1)C1CCCCC1,0
3336,CCCC,0
4080,OC[C@H]1O[C@@H](n2cnc3c(NO)ncnc32)[C@H](O)[C@@H]1O,1
5476,CC(C)NC(=O)/C=C/c1ccc([N+](=O)[O-])o1,1
1840,c1ccc2c(c1)-c1cccc3cc4ccccc4c-2c13,1
3321,NC(=O)c1cc[n+](COCN2C=CC=C/C2=C/[NH+]=O)cc1,0
4943,Cc1ccc2nc3c(c4c(c5ccccc53)O4)c(C)c2c1,1
5003,OCC(O)C1CO1,1
2164,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,1
3501,O=C(O)COc1ccc2ccccc2c1,0
2794,ClCC[NH2+]CCCl,1
1867,O=[N+]([O-])c1ccc2nc3c([N+](=O)[O-])cccc3nc2c1,1
4643,O=C1OCC(CCl)=C1Cl,1
3317,CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,0
1888,O=C(Nc1ccc(F)cc1)c1csc([N+](=O)[O-])c1,1
144,c1ccc(/N=N/c2ccccc2)cc1,1
380,CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2,1
1315,O=[N+]([O-])c1ccc2c3c(cccc13)-c1ccc(O)cc1-2,1
2910,O=C(O)CS,0
3197,CC(=O)Oc1cc(C=O)cc2c1C(COC(N)=O)C1(OC(C)=O)ON2CC2C1N2C(C)=O,1
121,Nc1ccc(N)cc1,1
5583,CCCCN(CCC)N=O,1
932,O=C1C=C(Nc2ccccc2)C(=O)c2ccccc21,1
418,CN(C)/N=N/c1ccccc1,1
3849,CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc([C+](c2ccc(N(C)C)cc2)c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)cc1,1
2350,CC(=O)OCCC(C)C,0
1181,Nc1cccc2cccc(S(=O)(=O)O)c12,1
2955,O=S([O-])CO,0
2344,Cc1c(N)cc([N+](=O)[O-])cc1[N+](=O)[O-],1
3565,Cc1cccc(NS(=O)(=O)c2cccc3cccnc23)c1,0
4239,CCc1ccccc1N,0
1194,O=[N+]([O-])C1=Cc2c3ccccc3cc3c2c1cc1ccccc13,1
5110,C[n+]1cccc2c1C=C[C@H]1O[C@@H]21,1
248,Sc1nc2ccccc2s1,0
4032,O=C(O)C1Cc2c([nH]c3ccccc23)C(CO)N1,0
5485,CCc1cccc2cccnc12,1
447,CCC1(c2ccccc2)C(=O)NCNC1=O,1
5752,CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,0
3679,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,0
5686,[2H]C([2H])([2H])OC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,0
4790,Cc1cc2c(cc1C)C(C)c1ccccc1-2,1
5132,CCCOS(=O)(=O)c1ccccc1,1
4917,CCOP(=S)(OCC)SCCSCC,1
5418,CCN(CCCCO)N=O,1
2114,O=C([O-])C1=CC(=NNc2ccc(-c3ccc(N=Nc4ccc(NN=C5C=CC(=O)C(C(=O)[O-])=C5)c5cc(S(=O)(=O)[O-])ccc45)cc3)cc2)C=CC1=O,1
4840,CC(Cl)CO,1
5133,CO[C@H](C)[C@](O)(C(=O)OCC1=CCN2CC[C@H](O)[C@@H]12)C(C)C,1
1410,O=[N+]([O-])c1ccc2c([N+](=O)[O-])cc3c([N+](=O)[O-])cccc3c2c1,1
414,O=NN1CC=CCC1,1
2778,CC1=CC(=C(C#N)C#N)C=C(/C=C/c2ccc(N(C)C)cc2)O1,1
5464,COc1ccc2c(c1OC)c(=O)n(C)c1c3cc4c(cc3ccc21)OCO4,1
2903,COC(=O)CC1C2(C)C3=C(C)C(c4ccoc4)CC3OC2C2OC(=O)C3(C)C=CC(=O)C1(C)C23,0
3250,CC1=CC(=O)C=C(C)C1=O,0
1261,O=[N+]([O-])c1ccc2c3c(ccc([N+](=O)[O-])c13)-c1ccccc1-2,1
4424,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O)C1)C(=O)c1c(O)cccc1C3=O,1
1786,Nc1cc(Cl)cc(Cl)c1,0
2503,CN(C)c1ccc(N(C)C)cc1,1
2663,C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@@]32C)O[C@]12CC[C@@H](C)CO2,0
589,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0
2642,C[SiH](Cl)Cl,0
2746,N#CCBr,0
1033,O=Nc1ccc(O)cc1,1
3268,CN(C)C(=O)c1nc(CNC(=O)CN)n(-c2ccc(Cl)cc2C(=O)c2ccccc2Cl)n1,0
4687,O=[N+]([O-])c1cc2c3c(ccc4cc([N+](=O)[O-])cc(c43)CC2)c1,1
1726,O=[N+]([O-])c1cc2[nH]c3ccc4ccccc4c3c2c2ccccc12,1
3039,CC(C)CC(C)N,0
1721,Clc1nncc2ncccc12,0
208,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0
4098,COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2,1
1699,[O-][n+]1cc2cccnc2cn1,0
425,O=NN1CCCCCC1,1
5674,C[C@]12CC[C@H](O)[C@@](C)(CO)[C@@H]1CC[C@H]1C[C@@H]3CC12CC[C@]3(O)CO,0
3159,CCCCCCCCCCCCCCCCCCCCCCO,0
5158,Cc1cnc2c(ccc3c2nc(N)n3C)n1,1
915,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,0
3372,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,1
3400,N[C@@H](CSC(F)(F)C(F)Cl)C(=O)O,0
2170,CCCCC(CC)COC(=O)c1ccc(N(C)N=O)cc1,0
2445,CC(C)=O,0
3414,ClCC(CCl)(CCl)CCl,0
2341,CN(CCO)CCO,0
3646,CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1,0
994,Nc1n[nH]c(=S)s1,0
2970,CC(O)CNCC(C)O,0
